Modelo;media;desvio_padrao;maior_valor;menor_valor
Média da variável dependente;5012870,110930278;279556,10904840444;6118045,222361111;4232392,886805555
MQO sem intercepto;1153881,7684441141;60316,583436711975;1382380,6470820457;977961,3449531883
MQO tradicional;356919,7931311935;72269,2620587318;616212,9866386312;200917,0907774291
MQO regularizado (0.025);356919,39745650376;72255,6882678255;616190,7960618918;200934,59332122823
MQO regularizado (0.05);356919,0190483835;72242,1190852988;616168,625557118;200952,11129072506
MQO regularizado (0.075);356918,6579023809;72228,55451023004;616146,4751193628;200969,64468169952
MQO regularizado (1);356918,3140140451;72214,99454169579;616124,3447436529;200987,1934900536
Regressão Polinomial (d=3);132316,36196367833;40507,7174701794;318760,18753249047;67425,68888283597
