modelo,media,desvio_padrao,maior,menor
Média da variável dependente,5012870.110930,279695.992024,6118045.222361,4232392.886806
MQO sem intercepto,1153881.768444,60346.764366,1382380.647082,977961.344953
MQO tradicional,356919.793131,72305.423813,616212.986639,200917.090777
MQO regularizado (0.25),356919.397457,72291.843230,616190.796062,200934.593321
MQO regularizado (0.50),356919.019048,72278.267258,616168.625557,200952.111291
MQO regularizado (0.75),356918.657902,72264.695896,616146.475119,200969.644682
MQO regularizado (1.00),356918.314014,72251.129142,616124.344744,200987.193490
Regressão Polinomial (d=3),132316.361964,40527.986532,318760.187532,67425.688883
