Modelo;media;desvio_padrao;maior_valor;menor_valor
Média da variável dependente;5025085,875768055;276180,25429104344;5811911,468888888;4118381,157916667
MQO sem intercepto;1155893,5726287966;59731,691779059605;1387231,4632876776;1009340,3162596745
MQO tradicional;359922,8615736264;72467,08057662925;608867,0695280071;198551,44010189566
MQO regularizado (0.025);359922,0329842684;72453,59774211961;608837,7793412008;198577,56942082336
MQO regularizado (0.05);359921,2217930168;72440,11930562976;608808,5113437625;198603,71160593315
MQO regularizado (0.075);359920,42799538956;72426,64526630746;608779,2655300994;198629,86665369253
MQO regularizado (1);359919,6515869045;72413,1756233011;608750,041894837;198656,03456063103
